episode,reward,steps,duration,epsilon
1,-3.70,500,0.00,0.0000,-0.0112,0.0007,1.6092,-0.0070,-0.1718
2,-3.10,500,0.00,0.0000,0.0015,0.0021,1.5934,0.0021,-0.1568
3,-3.30,500,0.00,0.0000,-0.0072,0.0040,1.6081,-0.0046,-0.1660
4,-4.50,500,0.00,0.0000,-0.0104,0.0009,1.6078,-0.0063,-0.1707
5,-0.80,500,0.00,0.0000,0.0046,0.0038,1.6055,0.0032,-0.1541
6,-2.20,500,0.00,0.0000,-0.0006,0.0040,1.6053,0.0003,-0.1592
7,-3.30,500,0.00,0.0000,-0.0045,0.0014,1.6011,-0.0020,-0.1639
8,-0.80,500,0.00,0.0000,0.0038,0.0038,1.5970,0.0033,-0.1540
9,-2.80,500,0.00,0.0000,-0.0033,0.0013,1.5985,-0.0013,-0.1625
10,-2.70,500,0.00,0.0000,-0.0042,0.0040,1.6015,-0.0014,-0.1623
11,-3.70,500,0.00,0.0000,-0.0069,0.0014,1.6022,-0.0034,-0.1664
12,-3.00,500,0.00,0.0000,-0.0037,0.0014,1.6021,-0.0016,-0.1632
13,-2.30,500,0.00,0.0000,-0.0003,0.0013,1.6019,0.0005,-0.1598
14,-0.50,500,0.00,0.0000,0.0062,0.0044,1.6028,0.0045,-0.1519
15,-3.60,500,0.00,0.0000,-0.0045,0.0015,1.6048,-0.0021,-0.1642
16,-4.20,500,0.00,0.0000,-0.0062,0.0011,1.6058,-0.0034,-0.1662
17,1.05,451,0.00,0.0000,0.0114,0.0179,1.6064,0.0078,-0.1404
18,-1.60,500,0.00,0.0000,0.0019,0.0039,1.6063,0.0017,-0.1567
19,-2.70,500,0.00,0.0000,-0.0024,0.0019,1.6058,-0.0009,-0.1620
20,-3.70,500,0.00,0.0000,-0.0063,0.0014,1.6050,-0.0033,-0.1660
21,-3.30,500,0.00,0.0000,-0.0053,0.0020,1.6037,-0.0025,-0.1646
22,-2.80,500,0.00,0.0000,-0.0031,0.0013,1.6017,-0.0013,-0.1627
23,-3.40,500,0.00,0.0000,-0.0051,0.0014,1.6000,-0.0024,-0.1644
24,-2.00,500,0.00,0.0000,-0.0005,0.0040,1.5982,0.0008,-0.1583
25,-2.70,500,0.00,0.0000,-0.0018,0.0014,1.5977,-0.0005,-0.1609
26,-2.70,500,0.00,0.0000,-0.0022,0.0013,1.5992,-0.0006,-0.1614
27,-0.30,500,0.00,0.0000,0.0052,0.0043,1.6012,0.0041,-0.1528
28,-3.80,500,0.00,0.0000,-0.0067,0.0015,1.6033,-0.0034,-0.1663
29,-0.80,500,0.00,0.0000,0.0031,0.0037,1.6042,0.0025,-0.1554
30,-2.50,500,0.00,0.0000,-0.0027,0.0018,1.6051,-0.0011,-0.1623
31,-1.60,500,0.00,0.0000,0.0001,0.0037,1.6057,0.0006,-0.1586
32,-1.70,500,0.00,0.0000,-0.0003,0.0037,1.6062,0.0003,-0.1591
33,-3.90,500,0.00,0.0000,-0.0077,0.0014,1.6065,-0.0042,-0.1676
34,-2.50,500,0.00,0.0000,-0.0026,0.0012,1.6063,-0.0012,-0.1626
35,-4.80,500,0.00,0.0000,-0.0100,0.0017,1.6060,-0.0055,-0.1698
36,-2.70,500,0.00,0.0000,-0.0021,0.0019,1.6049,-0.0007,-0.1616
37,-1.70,500,0.00,0.0000,0.0019,0.0040,1.6037,0.0020,-0.1564
38,-2.90,500,0.00,0.0000,-0.0008,0.0015,1.6024,0.0000,-0.1603
39,-0.80,500,0.00,0.0000,0.0058,0.0046,1.6018,0.0046,-0.1521
40,-3.50,500,0.00,0.0000,-0.0030,0.0017,1.6018,-0.0010,-0.1623
41,-1.80,500,0.00,0.0000,0.0027,0.0019,1.6017,0.0024,-0.1564
42,-3.50,500,0.00,0.0000,-0.0035,0.0016,1.6025,-0.0013,-0.1629
43,-1.90,500,0.00,0.0000,0.0012,0.0041,1.6030,0.0017,-0.1570
44,-1.80,500,0.00,0.0000,0.0015,0.0039,1.6033,0.0016,-0.1569
45,-3.70,500,0.00,0.0000,-0.0054,0.0021,1.6038,-0.0025,-0.1647
46,-2.60,500,0.00,0.0000,-0.0017,0.0019,1.6037,-0.0004,-0.1611
47,-2.60,500,0.00,0.0000,-0.0017,0.0019,1.6037,-0.0005,-0.1611
48,-0.90,500,0.00,0.0000,0.0035,0.0042,1.6038,0.0029,-0.1547
49,-2.90,500,0.00,0.0000,-0.0029,0.0013,1.6041,-0.0013,-0.1626
50,-2.30,500,0.00,0.0000,-0.0012,0.0017,1.6044,-0.0002,-0.1608
51,-2.70,500,0.00,0.0000,-0.0027,0.0013,1.6049,-0.0012,-0.1625
52,-2.50,500,0.00,0.0000,-0.0020,0.0012,1.6051,-0.0008,-0.1619
53,-3.00,500,0.00,0.0000,-0.0039,0.0019,1.6054,-0.0018,-0.1635
54,-3.10,500,0.00,0.0000,-0.0038,0.0014,1.6054,-0.0019,-0.1637
55,-3.20,500,0.00,0.0000,-0.0040,0.0020,1.6052,-0.0019,-0.1635
56,-2.10,500,0.00,0.0000,-0.0000,0.0018,1.6049,0.0005,-0.1596
57,-2.80,500,0.00,0.0000,-0.0017,0.0008,1.6045,-0.0006,-0.1617
58,-3.60,500,0.00,0.0000,-0.0045,0.0022,1.6045,-0.0020,-0.1639
59,-1.70,500,0.00,0.0000,0.0023,0.0047,1.6040,0.0022,-0.1558
60,-3.20,500,0.00,0.0000,-0.0019,0.0010,1.6034,-0.0006,-0.1617
61,-1.70,500,0.00,0.0000,0.0035,0.0013,1.6032,0.0026,-0.1561
62,-2.90,500,0.00,0.0000,-0.0008,0.0015,1.6039,0.0001,-0.1604
63,-3.10,500,0.00,0.0000,-0.0014,0.0016,1.6046,-0.0004,-0.1611
